City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Puri,IN,2021-11-20 19:45:18,19.8,85.85,75.72,78,12,4.9
283,Solhan,TR,2021-11-20 19:49:37,38.9634,41.0293,39.81,97,100,1.9
284,Longyan,CN,2021-11-20 19:49:37,25.1072,117.0225,62.71,94,76,1.21
285,Tautira,PF,2021-11-20 19:49:37,-17.7333,-149.15,82.42,67,16,14.9
286,Tiznit,MA,2021-11-20 19:49:38,29.5833,-9.5,60.89,71,0,2.06
287,Sao Jose Da Coroa Grande,BR,2021-11-20 19:49:38,-8.8978,-35.1478,80.67,73,19,11.48
288,Gizo,SB,2021-11-20 19:49:39,-8.103,156.8419,81.55,72,14,2.64
289,Pisco,PE,2021-11-20 19:49:39,-13.7,-76.2167,71.65,73,20,6.91
290,Batemans Bay,AU,2021-11-20 19:49:40,-35.7167,150.1833,59.2,96,100,6.33
291,Ca Mau,VN,2021-11-20 19:49:40,9.1769,105.15,75.13,94,100,4.54
292,Palmer,US,2021-11-20 19:45:57,42.1584,-72.3287,47.07,38,75,1.01
293,Henties Bay,NA,2021-11-20 19:49:40,-22.116,14.2845,59.86,93,18,5.21
294,Chegdomyn,RU,2021-11-20 19:49:41,51.1167,133.0167,-2.88,100,99,1.23
