City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Poum,NC,78.33,overcast clouds,-20.2333,164.0167,Gîte kajeon
251,Cururupu,BR,75.42,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
253,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
256,Majene,ID,86.77,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
258,Kimbe,PG,84.69,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
265,Sao Filipe,CV,80.1,clear sky,14.8961,-24.4956,Hotel Xaguate
268,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
272,Kalmunai,LK,77.36,overcast clouds,7.4167,81.8167,VS Villa
277,Georgetown,MY,87.75,scattered clouds,5.4112,100.3354,Cititel Penang
294,Machalpur,IN,75.74,clear sky,24.1333,76.3,New Trimurti Bhojnalaya
298,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
299,Bodden Town,KY,78.93,clear sky,19.2833,-81.25,Will T Place
300,Ampanihy,MG,75.58,scattered clouds,-24.7,44.75,Angora Hotel
305,Lazaro Cardenas,MX,76.73,clear sky,17.9583,-102.2,quinta antigua
307,Gilbues,BR,76.89,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
313,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
319,Basco,PH,76.93,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
320,Black River,JM,80.6,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
328,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
330,Ambunti,PG,86.61,scattered clouds,-4.2365,142.8448,Ambunti Lodge
333,Soyo,AO,77.18,moderate rain,-6.1349,12.3689,Hotel Mpampa
336,Honiara,SB,86.11,light rain,-9.4333,159.95,Heritage Park Hotel
337,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
346,Bintulu,MY,84.61,scattered clouds,3.1667,113.0333,900 Boutique INN
348,Faanui,PF,81.34,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
353,Pochutla,MX,77.85,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
355,Sinnamary,GF,77.54,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
361,Katobu,ID,88.38,few clouds,-4.9408,122.5276,La Ode Husein
364,Chandbali,IN,83.66,few clouds,20.7833,86.7667,KABITA HOMES
365,Santa Maria,BR,75.13,few clouds,-29.6842,-53.8069,Hotel Morotin
373,Cabinda,AO,76.46,light rain,-5.55,12.2,Hotel Maiombe
384,Daru,PG,86.05,scattered clouds,-9.0763,143.2092,Daru Lodge
388,Itarema,BR,80.08,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
389,Samarai,PG,85.95,few clouds,-10.6167,150.6667,Nuli Sapi
394,Mumford,GH,80.42,few clouds,5.2618,-0.759,Spanish Villa
395,Bahia Honda,CU,75.85,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
398,La Asuncion,VE,80.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
400,Oranjestad,AW,81.12,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
