City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Severnyy,RU,50.677,36.5532,26.64,86,0,6.71,clear sky
229,Vardo,NO,70.3705,31.1107,17.8,48,100,17.98,overcast clouds
230,Itoman,JP,26.1247,127.6694,68.4,61,75,19.57,broken clouds
231,Tabas,IR,33.5959,56.9244,59.18,68,72,1.77,broken clouds
232,Galle,LK,6.0367,80.217,82.15,74,94,8.21,overcast clouds
233,Capitan Bado,PY,-23.2667,-55.5333,69.28,51,32,6.91,scattered clouds
234,Kununurra,AU,-15.7667,128.7333,103.98,29,73,9.22,broken clouds
235,Kolpashevo,RU,58.3131,82.9089,26.83,88,100,12.26,overcast clouds
236,Hambantota,LK,6.1241,81.1185,82.15,71,96,2.57,overcast clouds
237,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,68,0,9.22,clear sky
238,Borogontsy,RU,62.6683,131.1683,-14.96,89,100,2.51,overcast clouds
239,Lagoa,PT,39.05,-27.9833,64.83,86,37,18.68,scattered clouds
240,Nkhata Bay,MW,-11.6066,34.2907,78.46,51,60,3.13,broken clouds
241,Longyearbyen,SJ,78.2186,15.6401,3.04,66,20,4.61,few clouds
242,Abha,SA,18.2164,42.5053,53.42,62,0,0.0,clear sky
243,Grand Gaube,MU,-20.0064,57.6608,81.37,58,3,4.0,clear sky
244,Waupun,US,43.6333,-88.7296,26.22,38,11,6.49,few clouds
245,Ostrovnoy,RU,68.0531,39.5131,20.55,93,46,7.58,scattered clouds
246,Kutum,SD,14.2,24.6667,57.61,40,3,7.05,clear sky
247,Macas,EC,-2.3167,-78.1167,66.06,98,90,3.24,overcast clouds
248,Kloulklubed,PW,7.0419,134.2556,88.3,77,89,12.88,overcast clouds
249,Kieta,PG,-6.2167,155.6333,84.52,71,77,4.59,light rain
250,Poum,NC,-20.2333,164.0167,78.33,74,100,2.91,overcast clouds
251,Cururupu,BR,-1.8283,-44.8683,75.42,89,78,2.68,broken clouds
252,Ekibastuz,KZ,51.6667,75.3667,35.06,89,71,28.88,broken clouds
253,Salalah,OM,17.0151,54.0924,82.49,18,0,8.05,clear sky
254,Tazovskiy,RU,67.4667,78.7,14.14,93,100,15.52,overcast clouds
255,Bilma,NE,18.6853,12.9164,71.15,24,0,8.9,clear sky
256,Majene,ID,-3.5403,118.9707,86.77,65,52,5.99,broken clouds
257,Honningsvag,NO,70.9821,25.9704,28.27,57,100,17.63,overcast clouds
258,Kimbe,PG,-5.5502,150.1429,84.69,79,47,4.79,moderate rain
259,Svetlogorsk,BY,52.6333,29.7333,24.64,73,62,1.77,broken clouds
260,Ygatimi,PY,-24.0833,-55.5,70.75,59,36,3.15,scattered clouds
261,Kushiro,JP,42.975,144.3747,47.35,36,20,12.66,few clouds
262,Moron,AR,-34.6534,-58.6198,64.99,44,95,8.99,overcast clouds
263,Astana,KZ,51.1801,71.446,33.75,69,75,24.61,broken clouds
264,Binzhou,CN,37.3667,118.0167,50.27,30,0,12.28,clear sky
265,Sao Filipe,CV,14.8961,-24.4956,80.1,63,0,7.9,clear sky
266,Westport,US,41.1415,-73.3579,39.16,60,1,1.01,clear sky
267,Collie,AU,-33.3667,116.15,74.75,30,0,4.88,clear sky
268,Touros,BR,-5.1989,-35.4608,79.7,79,95,11.03,overcast clouds
269,Shelburne,CA,44.0787,-80.2041,27.05,97,45,10.83,light snow
270,Smolyaninovo,RU,43.2956,132.4675,22.46,61,98,13.71,overcast clouds
271,Tianpeng,CN,30.9866,103.9393,55.87,54,100,4.94,overcast clouds
272,Kalmunai,LK,7.4167,81.8167,77.36,88,100,6.76,overcast clouds
273,Maturin,VE,9.75,-63.1767,71.87,97,43,3.85,scattered clouds
274,Ulladulla,AU,-35.35,150.4667,72.77,70,100,9.8,overcast clouds
275,Trogir,HR,43.5125,16.2517,57.25,51,40,9.22,scattered clouds
276,Bafoulabe,ML,13.8065,-10.8321,77.31,21,5,3.24,clear sky
277,Georgetown,MY,5.4112,100.3354,87.75,74,40,3.44,scattered clouds
278,Crotone,IT,39.0851,17.1178,51.93,65,70,4.88,broken clouds
279,Margate,GB,51.3813,1.3862,45.7,81,76,1.01,broken clouds
280,Ritchie,ZA,-29.038,24.6028,54.61,71,6,13.18,clear sky
281,Kosa,RU,59.9445,54.9977,17.67,92,99,8.39,overcast clouds
282,Hofn,IS,64.2539,-15.2082,43.0,68,100,6.24,overcast clouds
283,Sona,IT,45.4388,10.8255,51.26,71,75,5.75,broken clouds
284,Aanekoski,FI,62.6946,25.818,26.85,100,93,3.85,overcast clouds
285,Saryg-Sep,RU,51.5,95.6,13.14,78,87,1.59,overcast clouds
286,Chara,RU,56.9064,118.2631,-12.91,88,20,2.24,few clouds
287,Itaguacu,BR,-19.8019,-40.8556,65.79,95,90,0.56,overcast clouds
288,Tres Arroyos,AR,-38.3739,-60.2798,45.59,90,1,5.86,clear sky
289,Cidreira,BR,-30.1811,-50.2056,68.7,79,9,8.39,clear sky
290,San Cristobal,VE,7.7669,-72.225,69.98,98,58,1.43,broken clouds
291,Deputatskiy,RU,69.3,139.9,-22.52,96,94,5.3,overcast clouds
292,Mount Darwin,ZW,-16.7725,31.5838,70.05,82,24,1.83,light rain
293,Miles City,US,46.4083,-105.8406,45.52,56,1,6.91,clear sky
294,Machalpur,IN,24.1333,76.3,75.74,31,4,3.6,clear sky
295,Penzance,GB,50.1186,-5.5371,46.76,76,59,14.41,broken clouds
296,Camabatela,AO,-8.1881,15.375,61.95,91,99,1.95,overcast clouds
297,Liverpool,GB,53.4106,-2.9779,48.09,90,75,1.99,broken clouds
298,Geraldton,AU,-28.7667,114.6,75.61,46,0,20.71,clear sky
299,Bodden Town,KY,19.2833,-81.25,78.93,81,8,6.53,clear sky
300,Ampanihy,MG,-24.7,44.75,75.58,66,28,5.59,scattered clouds
301,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,56.48,71,97,3.83,overcast clouds
302,Whitianga,NZ,-36.8333,175.7,70.02,89,97,7.4,overcast clouds
303,Methven,NZ,-43.6333,171.65,56.01,82,99,3.0,overcast clouds
304,Half Moon Bay,US,37.4636,-122.4286,61.25,69,1,0.0,clear sky
305,Lazaro Cardenas,MX,17.9583,-102.2,76.73,85,2,3.62,clear sky
306,Nokaneng,BW,-19.6667,22.2667,70.77,59,98,6.08,overcast clouds
307,Gilbues,BR,-9.8317,-45.3439,76.89,70,90,3.29,overcast clouds
308,Goderich,CA,43.7501,-81.7165,36.91,60,99,14.97,light rain
309,Zyryanka,RU,65.75,150.85,-24.09,98,98,5.1,overcast clouds
310,Safaga,EG,26.7292,33.9365,62.55,56,0,12.86,clear sky
311,Salisbury,GB,51.0693,-1.7957,38.23,92,3,5.75,clear sky
312,Port Hawkesbury,CA,45.6169,-61.3485,54.59,93,75,18.01,moderate rain
313,Cayenne,GF,4.9333,-52.3333,81.09,85,40,0.0,scattered clouds
314,Hasaki,JP,35.7333,140.8333,59.4,74,100,15.1,overcast clouds
315,Korem,ET,12.5058,39.5228,49.01,86,49,1.5,scattered clouds
316,Yablonovo,RU,50.8523,37.3574,26.46,80,100,6.04,overcast clouds
317,Sadove,UA,46.2487,30.1795,40.96,82,100,6.29,overcast clouds
318,Shenjiamen,CN,29.9576,122.298,47.52,48,42,18.84,scattered clouds
319,Basco,PH,20.4487,121.9702,76.93,78,86,28.66,overcast clouds
320,Black River,JM,18.0264,-77.8487,80.6,88,79,5.39,broken clouds
321,Pacific Grove,US,36.6177,-121.9166,59.83,43,1,1.99,clear sky
322,Acaponeta,MX,22.4964,-105.3594,71.76,72,60,2.55,broken clouds
323,Mount Gambier,AU,-37.8333,140.7667,64.31,77,75,16.11,light intensity shower rain
324,Asilah,MA,35.465,-6.0348,57.16,65,100,12.15,overcast clouds
325,Naze,JP,28.3667,129.4833,61.72,64,90,14.85,overcast clouds
326,Watsa,CD,3.0372,29.5355,60.67,95,65,1.99,broken clouds
327,Fort Nelson,CA,58.8053,-122.7002,2.79,78,90,10.36,light snow
328,Puerto Colombia,CO,10.9878,-74.9547,80.69,80,100,14.99,overcast clouds
329,Wajima,JP,37.4,136.9,47.08,70,75,20.71,broken clouds
330,Ambunti,PG,-4.2365,142.8448,86.61,77,47,0.22,scattered clouds
